word,decade,betweenness,closeness,clusterrank,constraint,degree,diffusion,dmnc,hubs,laplacian,lobby,mnc,pagerank,topocoefficient,transitivity,zipf,spectral_diversity,nonzero_eigenvalues,entropy,condition_number
uncomfortable,1850,2.47696226932546e-08,0.386027417536161,326118.806053376,0.0048168543871893,0.0189329954954955,1097560.0,2.7020634369822,0.0797861184544044,2484026.0,270.0,269.0,2.08749111169748e-05,0.0788265680938014,0.297203573212007,4.11602646753704,96.52987670898438,4.0,1.1168087720870972,123.5948715209961
uncomfortable,1860,5.12773067224622e-08,0.380457969942287,287534.259347366,0.0045751857867779,0.0201956673654787,1040180.0,2.63042566455138,0.0837611612442262,2413866.0,288.0,289.0,2.35462753466373e-05,0.0694250250937206,0.276504229142637,4.20582623502443,99.3443374633789,4.0,1.0856592655181885,119.40692138671876
uncomfortable,1870,3.15755159255513e-07,0.39910633043751,338619.233299605,0.0041403226182131,0.0220787335971673,1206326.0,2.61073308116699,0.0904756872082739,2816512.0,317.0,318.0,2.27962492152848e-05,0.0714328559983859,0.280776937880682,4.25599094604341,96.73113250732422,5.0,0.9971268177032472,125.5407943725586
uncomfortable,1880,8.34102439298788e-07,0.403099862505304,378687.972030075,0.0033245414083147,0.0277633537577457,1500268.0,2.57951496361663,0.103837213885129,3642938.0,400.0,400.0,2.57750823942545e-05,0.0694788614871129,0.252481203007519,4.15720760604933,105.39826965332033,5.0,1.1113849878311155,144.35836791992188
uncomfortable,1890,1.29358754792626e-06,0.415229944554469,490240.196509767,0.0024832176747009,0.0376527275856135,2089520.0,2.50532950029524,0.123069563394758,5374782.0,539.0,547.0,2.94513759957113e-05,0.0687671150566643,0.234680006160811,4.11520724762668,96.00724792480467,5.0,1.1030263900756836,114.7724609375
uncomfortable,1900,8.9531920563022e-07,0.419675999372249,549792.17222081,0.002188460000848,0.0434633577843285,2408304.0,2.41148043787959,0.135250253231832,6423164.0,617.0,634.0,3.21859968153151e-05,0.0676518763738065,0.22835030225106,4.15011189728638,104.65501403808594,4.0,1.0791590213775637,133.21388244628906
uncomfortable,1910,7.74729583104066e-08,0.397481975948825,347024.66264278,0.0035325426876029,0.0267233109497054,1356398.0,2.50300342491016,0.0987863772342124,3320416.0,388.0,389.0,2.42149276396663e-05,0.063505911546526,0.255916571701163,4.18783189557862,100.60906219482422,6.0,1.0971603393554688,130.9956512451172
uncomfortable,1920,7.84227715497353e-07,0.391377561841125,314568.164773248,0.0046124125738729,0.0203522236688823,1060924.0,2.52983131903877,0.0864459740532617,2474090.0,294.0,295.0,2.16660054360765e-05,0.0661389833013152,0.296587265231333,4.206170919244,109.99971771240234,5.0,1.0711746215820312,155.0776824951172
uncomfortable,1930,7.74517281165705e-08,0.370202476147287,276409.751483745,0.0062404804665951,0.0145930391888189,771346.0,2.4814393661274,0.0695419119669912,1723742.0,213.0,213.0,1.8597012001362e-05,0.0693499390443544,0.358446275135087,4.19114508252344,96.8323745727539,5.0,1.093162178993225,134.00839233398438
uncomfortable,1940,3.75266379614624e-07,0.377964357238117,257060.856421444,0.0060871757885562,0.0153414149715773,767132.0,2.45794252758531,0.0657086937147978,1734520.0,223.0,223.0,1.9471853951743e-05,0.0656749614252418,0.335191693936089,4.16478277684225,102.43782043457033,5.0,1.1226623058319092,131.40480041503906
