"key","denote1","denote2","pvalue","warning","t1","t2"
"betweenness_1960_~_spectral_diversity_1990",0.849297655618369,0.343649794620989,1.35202959938852e-12,NA,-0.074076502538652,-9.89621830022148e-08
"betweenness_1960_~_entropy_1990",0.518994563558081,0.14208214263029,0,NA,-0.314397787649705,-5.55608944693661e-08
"zipf_1960_~_betweenness_1990",0.568484273875587,0.704544653303704,0,NA,-1.42529000320954e-06,-0.182861900302453
"zipf_1960_~_zipf_1990",0.855530001297231,0.854488184101565,0.0129362856503001,NA,-0.0673859882433118,-0.0465360242564788
"zipf_1960_~_spectral_diversity_1990",0.472101227220943,0.493201369048731,0.221706077437963,NA,-0.00974769586010531,-0.0473311643975506
"zipf_1960_~_entropy_1990",0.396868907909983,0.344230295285156,0.0139485288816301,NA,-0.0696376958127789,-0.0267316366481094
"spectral_diversity_1960_~_betweenness_1990",0.363503832890985,0.813461454033442,0,NA,-9.1109241190349e-07,-0.0675991630574772
"spectral_diversity_1960_~_zipf_1990",0.518337806893241,0.544776469612028,0.325681895187045,NA,-0.00559475215926635,-0.0280468023228134
"spectral_diversity_1960_~_spectral_diversity_1990",0.919632832119338,0.920475939651026,0.700177821044817,NA,-0.0347255096303249,-0.0296770142933913
"entropy_1960_~_betweenness_1990",0.196610584872823,0.561757559730427,0,NA,-6.87648639118555e-07,-0.222383603520389
"entropy_1960_~_zipf_1990",0.331217434427013,0.38646991308527,0.0391550335293172,NA,-0.0457415703224179,-0.0671687071523173
"entropy_1960_~_entropy_1990",0.68398031731373,0.680016081211179,0.502254255123221,NA,-0.124870391681344,-0.116423287192515
"betweenness_1960_~_betweenness_2000",0.99,0.985540272543344,0.308731287214451,NA,-3.83826761627324e-06,-2.7105240041502e-07
"betweenness_1960_~_zipf_2000",0.660430027314997,0.476289681298459,0,NA,-0.210683230507385,-1.81262060678786e-07
"betweenness_1960_~_spectral_diversity_2000",0.844390498529119,0.342249945605579,1.09579012530503e-12,NA,-0.0786167308319827,-9.77927131986694e-08
"betweenness_1960_~_entropy_2000",0.549976692178101,0.149658951200217,0,NA,-0.27614735082953,-6.21740869609928e-08
"zipf_1960_~_betweenness_2000",0.536535121358797,0.720507760662574,0,NA,-6.50860479344474e-06,-0.152902770666312
"zipf_1960_~_zipf_2000",0.850878279524405,0.849126321812391,0.51707242547186,NA,-0.0566805715893346,-0.0525449119947719
"zipf_1960_~_spectral_diversity_2000",0.48756217904294,0.510204262877227,0.227154973992378,NA,-0.00514141990468217,-0.0413937423431829
"zipf_1960_~_entropy_2000",0.414122366606191,0.3544829089042,0.00930664783925872,NA,-0.0666409136462067,-0.0260561625853826
"spectral_diversity_1960_~_betweenness_2000",0.343680764418261,0.781707314902439,0,NA,-3.81994834450236e-06,-0.0574747461390381
"spectral_diversity_1960_~_zipf_2000",0.453585827538055,0.440554634778372,0.255878524308782,NA,-0.0636925879802811,-0.0269968539639567
"spectral_diversity_1960_~_spectral_diversity_2000",0.941859147634531,0.942268721618969,0.344866526412115,NA,-0.0144378269812586,-0.0217904437778778
"entropy_1960_~_betweenness_2000",0.225436991638725,0.534890372862698,0,NA,-2.60143377449128e-06,-0.224946920349014
"entropy_1960_~_zipf_2000",0.316324454498284,0.368948227763826,0.000890691007003674,NA,-0.0284875490830221,-0.0936047839422343
"entropy_1960_~_entropy_2000",0.621865921604628,0.619476423349578,0.962754264421287,NA,-0.143463747387599,-0.144936463530578
"betweenness_1970_~_betweenness_1980",0.99,0.99,0.994301986591819,NA,-4.53144803683297e-06,-1.0502107918462e-06
"betweenness_1970_~_zipf_1980",0.742337186095347,0.559656912201559,0,NA,-0.161431134980181,-2.23735313400024e-07
"betweenness_1970_~_spectral_diversity_1980",0.844957435197958,0.324079425206921,2.56461518688411e-13,NA,-0.0679591583539964,-1.08459108751114e-07
"betweenness_1970_~_entropy_1980",0.627687364162786,0.188786517402462,0,NA,-0.177854294701481,-2.51823089677532e-07
"zipf_1970_~_betweenness_1980",0.533701923064417,0.679159665454848,0,NA,-5.7262289543049e-07,-0.197902556390422
"zipf_1970_~_zipf_1980",0.846356248724833,0.845051576341083,0.945228191867802,NA,-0.0684166337745679,-0.0703368547403028
"zipf_1970_~_spectral_diversity_1980",0.489976537693569,0.501112317973407,0.432138716842079,NA,-0.0168957617823513,-0.0439594675904356
"zipf_1970_~_entropy_1980",0.354118015160273,0.306892825592009,0.119113401246707,NA,-0.0689073781786017,-0.0557483799978589
"spectral_diversity_1970_~_betweenness_1980",0.349397523045494,0.802772194098251,0,NA,-2.98127062533139e-07,-0.0832723470824872
"spectral_diversity_1970_~_zipf_1980",0.491858371661875,0.477687145466536,0.332994076769362,NA,-0.0514579451530322,-0.0196417764852463
"spectral_diversity_1970_~_spectral_diversity_1980",0.913949904387892,0.915516199515022,0.81672087911616,NA,-0.0389286506527465,-0.03994478080834
"entropy_1970_~_betweenness_1980",0.184493569237503,0.544044136122657,0,NA,-5.76494756844201e-07,-0.22431816344712
"entropy_1970_~_zipf_1980",0.334220987876088,0.376688395367763,0.0387878336367942,NA,-0.0490303831565027,-0.0744144520828344
"entropy_1970_~_entropy_1980",0.723576192430712,0.7239651288095,0.939370427277447,NA,-0.108489123683546,-0.106883770864467
"betweenness_1970_~_betweenness_1990",0.99,0.99,0.996579233041859,NA,-9.09619777995555e-06,-3.3570145612566e-06
"betweenness_1970_~_zipf_1990",0.754485508044218,0.57600982230132,0,NA,-0.117403438328757,-5.8015395329673e-07
"betweenness_1970_~_spectral_diversity_1990",0.844684683297013,0.304377105921983,1.77635683940025e-14,NA,-0.0652597967048035,-8.2791828003719e-08
"betweenness_1970_~_entropy_1990",0.613048803597498,0.187193406725241,0,NA,-0.181808014362197,-2.76139452408551e-07
"zipf_1970_~_betweenness_1990",0.552606867390533,0.693098017649671,0,NA,-1.42107119930304e-06,-0.191945176780584
"zipf_1970_~_zipf_1990",0.699796827060699,0.69932691265837,0.425527405804605,"Data contain duplicated values: LSCV is not well-behaved in this case",-0.134068874520019,-0.122237022502025
"zipf_1970_~_spectral_diversity_1990",0.481446693029005,0.503130007698423,0.250150538479265,NA,-0.00925808101824842,-0.0434108192173552
"zipf_1970_~_entropy_1990",0.371191126694204,0.3273824662046,0.0587944675442567,NA,-0.0677658281920647,-0.0403061603109736
"spectral_diversity_1970_~_betweenness_1990",0.366590863466202,0.808224805113245,0,NA,-9.78001672430454e-07,-0.0711532702122501
"spectral_diversity_1970_~_zipf_1990",0.531478699048736,0.524208917911726,0.769724653983408,NA,-0.0237278536442478,-0.0165352878009318
"spectral_diversity_1970_~_spectral_diversity_1990",0.945093882416405,0.944974287742556,0.811434777792668,NA,-0.0180940956069457,-0.0200145267078489
"entropy_1970_~_betweenness_1990",0.262973525517336,0.679295402314574,0,NA,-1.26478849509068e-06,-0.0992685385232728
"entropy_1970_~_zipf_1990",0.364641381678096,0.415505829335467,0.00138238840782079,NA,-0.0274255213127276,-0.0847752932008662
"entropy_1970_~_entropy_1990",0.670253814654803,0.670775507088418,0.97719379307707,NA,-0.129294780452504,-0.129297914864562
"betweenness_1970_~_betweenness_2000",0.99,0.976579507539439,0.0976031662410493,NA,-7.39877008119501e-06,-2.98443151117298e-06
